y,x
126.093323,81.387711
100.923317,77.621338
13.790079,22.937632
0.06,0.05
61.386585,31.572535
2.12,2.701364
11.107091,16.54949
58.896103,45.758812
0.22,0.51
11.94,19.049999
0.77,6.18
103.577477,92.534622
0.0032,0.0063
28.227766,32.019688
35.255108,33.690502
10.7,21
0.02,0.34
79.408585,71.101219
108.475143,168.359772
44.744102,49.28973
57.203522,42.538795
0.25,0.54
32.905239,22.634762
12.45,7.86
10.43,9.28
80.917862,57.991852
0.25,0.7
42.224934,24.7216
24.31358,13.42351
132.634338,84.665421
1e-04,0.625
119.744781,79.876877
55.413799,44.111614
8.6,6.8
7.784764,12.253088
70.124756,42.326488
0.0011,0.905
14.814559,34.185871
3.629996,2.339998
9.2,6.05
79.221786,65.336769
51.492809,58.711037
12.544215,12.868586
3.27,30.451523
21.071468,15.15708
0.04,0.06
40.84,30.41
66.867538,41.94455
67.820457,40.883533
0.44,0.57
115.60006,106.858467
1.51,1.51
48.878353,28.85932
15.1,8.7
5.389247,12.742147
0.44,0.46
0.04,0.11
0.01,0.01
0.08,0.21
0.19,0.563778
1.16,1.56
0.5,0.45
0.1,0.5
0.07,0.1
18.369665,25.302917
0.1,0.06
0.2,0.56
0.04,0.11
4.401314,2.679343
3.531404,2.544271
29.122074,26.533585
0.54,0.54
0.04,0.06
0.02,0.15
0.05,0.1
28.022875,26.456024
35.089291,27.91395
2.93,2.202495
0.04,0.03
0.17,0.2
1.02,1.49
0.06,0.12
0.02,0.21
0.04,0.14
0.045,0.08
8.95,14.261099
2.2,2.25
1.71,2.1
0.02,0.3
0.47,0.83
0.18,1.68
0.08,0.2
0.26,0.34
0.1,0.25
0.09,0.12
0.04,0.06
0.055,0.08
0.26,0.18
0.01,0.09
1.91,2.24
0.4,0.014386
0.32,0.028846
0.035,0.035
0.035,0.04
0.25,1.22
13.222518,16.021992
10.558966,15.190181
0.3,1
0.018,0.0509
0.07,0.19
0.02,0.18
0.06,0.09
0.04,0.19
0.3,0.5
1.92,0.05
6.908575,3.034812
0.01,0.02
2,3.19
0.01,0.02
